126462,12785,Spring 2022 ; Spring 2022 ; Spring 2022,E01 ; E01 ; E01,1474 ; 1474 ; 1474,UGRD ; UGRD ; UGRD,Undergraduate ; Undergraduate ; Undergraduate,Chemistry for Everyday ; Chemistry for Everyday ; Chemistry for Everyday,Lecture ; Lecture ; Lecture,Open ; Open ; Open,Active ; Active ; Active,Enrollment Section ; Enrollment Section ; Enrollment Section,No Special Consent Required ; No Special Consent Required ; No Special Consent Required,60 ; 60 ; 60,20 ; 20 ; 20,54 ; 54 ; 54,  ;   ;  ,Online ; Online ; Online,60 ; 60 ; 60,NaN ; NaN ; NaN,NaN ; NaN ; NaN,  ;   ;  ,106336008 ; 109928268 ; 104476646,"Kim,Kyoun Nan ; Morris,Moriah Anjanette ; Vu,Bao",Online Course ; Online Course ; Online Course,ONLINE ; ONLINE ; ONLINE,  ;   ;  ,Letter ; Letter ; Letter,LEC ; LEC ; LEC,original
126462,12785,Spring 2022 ; Spring 2022 ; Spring 2022,E01 ; E01 ; E01,1474 ; 1474 ; 1474,UGRD ; UGRD ; UGRD,Undergraduate ; Undergraduate ; Undergraduate,Chemistry for Everyday ; Chemistry for Everyday ; Chemistry for Everyday,Lecture ; Lecture ; Lecture,Open ; Open ; Open,Active ; Active ; Active,Enrollment Section ; Enrollment Section ; Enrollment Section,No Special Consent Required ; No Special Consent Required ; No Special Consent Required,60 ; 60 ; 60,20 ; 20 ; 20,54 ; 54 ; 54,  ;   ;  ,Online ; Online ; Online,60 ; 60 ; 60,NaN ; NaN ; NaN,NaN ; NaN ; NaN,  ;   ;  ,106336008 ; 109928268 ; NaN,"Kim,Kyoun Nan ; Morris,Moriah Anjanette ; NaN",Online Course ; Online Course ; Online Course,ONLINE ; ONLINE ; ONLINE,  ;   ;  ,Letter ; Letter ; Letter,LEC ; LEC ; LEC,modified
126503,40497,Spring 2022,1,3491,UGRD,Undergraduate,Majors Organic Chemistry II,Lecture,Open,Active,Enrollment Section,No Special Consent Required,35,10,25, ,In Person,35,10:00:00.000000_AM,11:50:00.000000_AM,TTH,100507309,"Reed,Scott M",North Classroom Building,1402, ,Letter,LEC,original
126503,40497,Spring 2022,1,3491,UGRD,Undergraduate,Majors Organic Chemistry II,Lecture,Open,Active,Enrollment Section,No Special Consent Required,35,10,25, ,In Person,35,10:00:00.000000_AM,11:50:00.000000_AM,TTH,100507309,NaN,North Classroom Building,1402, ,Letter,LEC,modified
209316,13087,Spring 2022 ; Spring 2022,E01 ; E01,1494 ; 1494,UGRD ; UGRD,Undergraduate ; Undergraduate,Forensic Chemistry ; Forensic Chemistry,Lecture ; Lecture,Open ; Open,Active ; Active,Enrollment Section ; Enrollment Section,No Special Consent Required ; No Special Consent Required,65 ; 65,10 ; 10,57 ; 57,  ;  ,Online ; Online,30 ; 30,NaN ;  ,NaN ;  ,  ;  ,810686715 ;  ,"Maron,Marta Katarzyna ;  ",Online Course ;  ,ONLINE ;  ,  ; This course has a lab component included.,Letter ; Letter,LEC ; LEC,original
209316,13087,Spring 2022 ; Spring 2022,E01 ; E01,1494 ; 1494,UGRD ; UGRD,Undergraduate ; Undergraduate,Forensic Chemistry ; Forensic Chemistry,Lecture ; Lecture,Open ; Open,Active ; Active,Enrollment Section ; Enrollment Section,No Special Consent Required ; No Special Consent Required,65 ; 65,10 ; 10,57 ; 57,  ;  ,Online ; Online,30 ; 30,NaN ;  ,NaN ;  ,  ;  ,810686717 ;  ,"Maron,Marta Katarzyna ;  ",Online Course ;  ,ONLINE ;  ,  ; This course has a lab component included.,Letter ; Letter,LEC ; LEC,modified
